0,valid
1046932845682813,True
1053766855004430,False
1072074406493979,False
1089105581424781,False
1092378847793991,False
1104731699860294,False
1105449656457415,False
1118975601768967,False
1121284048224247,False
1123320618008506,True
1129956960692640,True
1165642207101377,False
1207445162923063,False
1256668104532416,False
1309619542556377,False
1346728745521375,False
1388421828011071,True
139087584196527,False
139706204129575,False
1451755681697150,False
1506916682821523,False
1510531162639014,True
1516161945216121,True
1557343877775118,False
1574389132724168,False
160939661751167,False
1814120672056019,False
1927730457352134,True
196700921626965,False
200512584578188,False
200568277867763,True
203196457622124,True
203199657410175,True
203485044085363,True
204071867533109,True
204955167478038,False
205030644153760,False
205578147391333,True
208780533550355,False
212531906646951,False
212697056618425,True
212700209939721,True
214898566420716,False
217134749371098,False
219097839204080,True
219627739400440,False
222293602311750,False
2244626375640892,False
2257979497844254,False
228266988369105,False
230202178346140,False
232506671205306,False
233198057732982,False
234189987979412,True
239232973788406,False
242241360250702,False
2434872433278912,False
243610200098329,False
244188523289908,True
245594963505823,False
246225126423066,True
246229396558102,False
247281113078917,False
249510606071584,False
2516640761935916,False
2525801824341366,False
252614462564795,False
253290335707166,False
2540696382871789,False
2551440988458154,False
255481408814534,False
2557969661139503,False
2559188310986222,False
2560587237528780,False
257303991939043,False
2582255938718072,True
258875095117720,True
2596854897305487,False
260263501641528,False
2603458516578489,True
2605584533101366,False
260598148276324,False
261009291557679,False
2614904275453841,True
2619428255045479,False
262404531424946,False
2635447553249685,False
266160851060671,False
2667351406918363,False
2672753863001092,False
2739761572911308,False
2781119911943366,False
2838481316378929,False
2897671110314005,False
291735581795107,True
292021711762629,True
292767861689459,True
2943235625719471,True
2950010948392577,False
2999997983391774,False
3014094761967824,False
3079064125478034,False
3100033846707525,True
310642989942318,False
325567651744780,False
3361186650574801,False
343509063272813,False
3711961548873827,True
494978307840306,False
497735587589305,False
499748580910978,False
518221618838835,False
522777805097062,True
522874258648920,False
528282547842151,False
532782524089902,False
539411656778997,False
542771073287085,False
546950982837156,True
548432859211336,True
550197658961843,False
570986236957981,False
572751163333580,False
572960773324922,False
575565746378027,False
577884479478395,False
587703705176763,True
588660241728657,True
606303423559647,False
618383535679772,False
618701195527031,False
622045148527252,False
624029178440771,False
627638838059054,False
639367000173557,False
642102189685379,False
643029166490469,True
643061006475805,False
645916392868610,False
648772445688064,True
649156772318744,False
653837782073044,False
654413518715271,False
670533490416349,False
671761570255909,False
677224799717321,False
691247121413716,True
701056440634311,True
702589887175935,False
740678913005488,True
771231023406071,False
791579508030353,True
809393332878811,True
815629955592342,False
836320223555482,True
839398256580219,True
839771183178373,False
846406239156738,True
848743115622714,False
861218351020648,False
882303822250146,True
904816899977270,False
910904096015186,False
911668742617628,False
921176244964849,False
981538482244126,False
armyofmasksGreaterOrlandoCentralFlorida,False
bavarianmakersvsvirus,False
BhamFaceMasks,True
covid19.germany,False
covid19.medicalsupplies.peru,False
covid19centralOH,False
CSRACovid19,False
ctfpperesponseteam,False
DC.COVID19,False
delmarvacovidvolunteers,False
DMVCOVID19,False
floridamaskmakers,True
helpneededcovid19,True
indysewingmasks,True
MakerspaceAdelaide,True
MaskMakingforArizonaHealthCareWorkers,True
millionmaskchallenge,True
MovimentoMakerPortugal,True
mtlcovid,False
NILMakersCOVIDsupport,False
OpenSourceCOVID19Ambato,False
opensourcecovid19medicalsuppliesaustralia,False
opensourcecovid19medicalsuppliesbrevardcofl,False
opensourcecovid19medicalsuppliesnl,False
opensourcecovid19medicalsuppliestaiwan,True
OpenSourceCOVID19MedicalSuppliesVancouverCanada,False
opensourcecovid19minnesota,False
OpensourceCOVID19Oklahoma,False
opensourcenm,False
opensourcesuplaimediscovid19Indonesia,False
orlandofacemaskstrong,True
OSCDMS,False
OSCMSAustralia,True
OSCMSCentralOhio,False
oscmsmilwaukee,False
oscmsnorthernnewengland,False
oscmswv,False
pnwcovid19relief,True
PPEforGuam,True
PPEforHCPsToronto,True
PPEforSTL,True
SewAgainstCovidPHL,True
stopthebug,True
VolunteersinOntarioFindingPPEforHospitals,True
WestMichiganOSMS,True
